ride_id,single_rider_ride_id,park,land,attraction,type,environment,offers_single_rider,offers_premier_access,usual_open_time,usual_close_time,thrill_level,fun_level,priority,notes
2710,,Disneyland Park,Fantasyland,La Tanière du Dragon,walkthrough,indoor,false,false,,,1,4,3,"Atmospheric dragon cavern beneath the castle"
16,,Disneyland Park,Fantasyland,Le Carrousel de Lancelot,carousel,outdoor,false,false,,,1,2,1,"Traditional carousel"
21,,Disneyland Park,Fantasyland,"Le Pays des Contes de Fées, presented by Vittel",boat_ride,outdoor,false,false,,,1,3,2,"Gentle miniature-storybook boat ride"
23,,Disneyland Park,Fantasyland,Les Voyages de Pinocchio,dark_ride,indoor,false,false,,,1,3,2,"Classic Pinocchio dark ride"
20,,Disneyland Park,Fantasyland,Mad Hatter's Tea Cups,spinner,outdoor,false,false,,,2,3,2,"Spinning teacups"
13,,Disneyland Park,Fantasyland,Meet Mickey Mouse,meet_and_greet,indoor,false,false,,,1,3,1,"Character encounter; queue can be substantial"
22,,Disneyland Park,Fantasyland,Peter Pan's Flight,dark_ride,indoor,false,true,,,2,4,4,"Popular suspended dark ride; frequently long standby queue"
24,,Disneyland Park,Fantasyland,Princess Pavilion,meet_and_greet,indoor,false,false,,,1,2,1,"Disney Princess character encounter"
25,,Disneyland Park,Frontierland,Big Thunder Mountain,roller_coaster,outdoor,false,true,,,4,5,5,"Signature runaway-mine-train coaster; very high priority"
2714,,Disneyland Park,Frontierland,Disneyland Railroad Frontierland Depot,transport,mixed,false,false,,,1,2,1,"Railroad station; service may vary during day"
2713,,Disneyland Park,Frontierland,Frontierland Playground,play_area,outdoor,false,false,,,1,1,1,"Children's play area"
26,,Disneyland Park,Frontierland,Phantom Manor,dark_ride,indoor,false,true,,,2,5,5,"Atmospheric haunted-house dark ride unique to Disneyland Paris"
27,,Disneyland Park,Frontierland,River Rogue Keelboats,boat_ride,outdoor,false,false,,,1,2,1,"Seasonal/limited-operation river attraction"
2712,,Disneyland Park,Frontierland,Rustler Roundup Shootin' Gallery,shooting_gallery,covered,false,false,,,1,2,1,"Paid shooting gallery"
28,,Disneyland Park,Frontierland,Thunder Mesa Riverboat Landing,boat_ride,outdoor,false,false,,,1,3,2,"Scenic riverboat around Big Thunder Mountain"
2708,,Disneyland Park,Main Street U.S.A,Disneyland Railroad Main Street Station,transport,mixed,false,false,,,1,3,2,"Main railroad station; duplicate service point represented separately by API"
12,,Disneyland Park,Main Street U.S.A,Main Street Vehicles,transport,outdoor,false,false,,,1,2,1,"Vintage vehicles; usually limited daytime operation"
10848,10849,Disney Adventure World,Marvel Avengers Campus,Avengers Assemble: Flight Force,roller_coaster,indoor,true,true,,,5,5,5,"High-speed indoor launch coaster; Marvel theming"
10845,10846,Disney Adventure World,Marvel Avengers Campus,Spider-Man W.E.B. Adventure,interactive_dark_ride,indoor,true,true,,,3,4,4,"Interactive gesture-based Spider-Man attraction"
40,,Disney Adventure World,Production Courtyard,The Twilight Zone Tower of Terror,drop_tower,indoor,false,true,,,5,5,5,"Major thrill attraction; randomized drop sequences"
31,,Disney Adventure World,Toon Studio,Cars Quatre Roues Rallye,spinner,outdoor,false,false,,,2,3,2,"Cars-themed spinning family ride"
29,,Disney Adventure World,Toon Studio,Cars ROAD TRIP,tram_ride,mixed,false,true,,,1,3,2,"Scenic tram-style ride with large-scale effects"
32,7277,Disney Adventure World,Toon Studio,Crush's Coaster,spinning_coaster,indoor,true,true,,,5,5,5,"Very popular spinning indoor coaster; queue often among park's longest"
33,,Disney Adventure World,Toon Studio,Les Tapis Volants - Flying Carpets Over Agrabah®,spinner,outdoor,false,false,,,2,2,1,"Aerial carpet spinner"
37,7279,Disney Adventure World,Toon Studio,Ratatouille : L’Aventure Totalement Toquée de Rémy​,trackless_dark_ride,indoor,true,true,,,3,5,5,"Trackless 3D dark ride; strong Single Rider potential"
34,7280,Disney Adventure World,Toon Studio,RC Racer,shuttle_coaster,outdoor,true,false,,,4,4,4,"Half-pipe shuttle coaster; short ride but good thrill"
36,,Disney Adventure World,Toon Studio,Slinky® Dog Zigzag Spin,family_ride,outdoor,false,false,,,2,2,1,"Gentle Toy Story family ride"
35,7281,Disney Adventure World,Toon Studio,Toy Soldiers Parachute Drop,drop_tower,outdoor,true,false,,,3,3,3,"Family-oriented parachute drop; Single Rider available"
16247,,Disney Adventure World,World of Frozen,Entry to World of Frozen,area_entry,outdoor,false,false,,,1,4,3,"API entry representing access to the themed land rather than a ride"
15413,,Disney Adventure World,World of Frozen,Frozen Ever After,boat_dark_ride,indoor,false,true,,,2,5,5,"New 2026 headline attraction; dedicated Premier Access line"
15415,,Disney Adventure World,World of Frozen,Raiponce Tangled Spin,spinner,outdoor,false,true,,,2,4,3,"New 2026 Tangled family attraction; dedicated Premier Access line"
